,'Til There Was You (1997),2.3333333333333335
0,1-900 (1994),2.6
1,101 Dalmatians (1996),2.9082568807339446
2,12 Angry Men (1957),4.343999999999999
3,187 (1997),3.024390243902439
4,2 Days in the Valley (1996),3.2258064516129035
5,"20,000 Leagues Under the Sea (1954)",3.5
6,2001: A Space Odyssey (1968),3.9691119691119687
7,3 Ninjas: High Noon At Mega Mountain (1998),1.0
8,"39 Steps, The (1935)",4.050847457627119
9,8 1/2 (1963),3.8157894736842106
10,8 Heads in a Duffel Bag (1997),3.25
11,8 Seconds (1994),3.75
12,A Chef in Love (1996),4.125
13,Above the Rim (1994),3.0
14,Absolute Power (1997),3.37007874015748
15,"Abyss, The (1989)",3.5894039735099335
16,Ace Ventura: Pet Detective (1994),3.0485436893203883
17,Ace Ventura: When Nature Calls (1995),2.675675675675676
18,Across the Sea of Time (1995),2.75
19,Addams Family Values (1993),2.8160919540229883
20,Addicted to Love (1997),3.1666666666666665
21,"Addiction, The (1995)",2.1818181818181817
22,"Adventures of Pinocchio, The (1996)",3.051282051282051
23,"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5945945945945947
24,"Adventures of Robin Hood, The (1938)",3.7910447761194033
25,"Affair to Remember, An (1957)",4.1923076923076925
26,"African Queen, The (1951)",4.1842105263157885
27,Afterglow (1997),3.111111111111111
28,"Age of Innocence, The (1993)",3.3846153846153846
29,Aiqing wansui (1994),5.0
30,Air Bud (1997),2.5581395348837206
31,Air Force One (1997),3.6310904872389793
32,"Air Up There, The (1994)",2.8125
33,Airheads (1994),2.34375
34,Akira (1988),3.38
35,Aladdin (1992),3.8127853881278537
36,Aladdin and the King of Thieves (1996),2.8461538461538463
37,Alaska (1996),2.6923076923076925
38,Albino Alligator (1996),2.5
39,Alice in Wonderland (1951),3.6666666666666665
40,Alien (1979),4.034364261168385
41,Alien 3 (1992),2.83
42,Alien: Resurrection (1997),3.0967741935483866
43,Aliens (1986),3.9471830985915495
44,All About Eve (1950),4.045454545454546
45,All Dogs Go to Heaven 2 (1996),1.8666666666666667
46,All Over Me (1997),3.0
47,All Things Fair (1996),3.0
48,Alphaville (1965),3.333333333333333
49,Amadeus (1984),4.163043478260869
50,Amateur (1994),3.1666666666666665
51,"Amazing Panda Adventure, The (1995)",2.8
52,American Buffalo (1996),2.636363636363636
53,American Dream (1990),2.5
54,"American President, The (1995)",3.6280487804878048
55,American Strays (1996),2.0
56,"American Werewolf in London, An (1981)",3.5353535353535355
57,"American in Paris, An (1951)",3.7
58,Amistad (1997),3.85483870967742
59,Amityville 1992: It's About Time (1992),1.0
60,Amityville 3-D (1983),1.1666666666666667
61,"Amityville Curse, The (1990)",1.25
62,"Amityville Horror, The (1979)",2.5660377358490565
63,Amityville II: The Possession (1982),1.6428571428571428
64,Amityville: A New Generation (1993),1.0
65,Amityville: Dollhouse (1996),1.0
66,Amos & Andrew (1993),2.6842105263157894
67,An Unforgettable Summer (1994),2.5
68,Anaconda (1997),2.2894736842105257
69,Anastasia (1997),3.4242424242424243
70,Andre (1994),3.111111111111111
71,Angel Baby (1995),3.75
72,Angel and the Badman (1947),3.0
73,Angel on My Shoulder (1946),2.0
74,Angela (1995),3.0
75,Angels and Insects (1995),3.4166666666666665
76,Angels in the Outfield (1994),2.9230769230769234
77,Angus (1995),2.642857142857143
78,Anna (1996),4.5
79,Anna Karenina (1997),3.0909090909090913
80,Anne Frank Remembered (1995),3.8571428571428568
81,Annie Hall (1977),3.911111111111111
82,Another Stakeout (1993),2.5
83,Antonia's Line (1995),3.9565217391304346
84,Aparajito (1956),3.571428571428572
85,"Apartment, The (1960)",3.936507936507936
86,Apocalypse Now (1979),4.04524886877828
87,Apollo 13 (1995),3.931159420289855
88,"Apostle, The (1997)",3.654545454545455
89,"Apple Dumpling Gang, The (1975)",2.84
90,April Fool's Day (1986),2.6666666666666665
91,Apt Pupil (1998),4.1
92,"Aristocats, The (1970)",3.1296296296296298
93,Army of Darkness (1993),3.431034482758621
94,Around the World in 80 Days (1956),3.6610169491525424
95,"Arrival, The (1996)",3.036144578313253
96,Arsenic and Old Lace (1944),4.0782608695652165
97,As Good As It Gets (1997),4.196428571428571
98,Assassins (1995),2.8717948717948723
99,"Assignment, The (1997)",3.5
100,"Associate, The (1996)",3.2439024390243905
101,Audrey Rose (1977),2.1666666666666665
102,August (1996),1.0
103,Austin Powers: International Man of Mystery (1997),3.246153846153846
104,"Awfully Big Adventure, An (1995)",2.375
105,Ayn Rand: A Sense of Life (1997),3.1428571428571432
106,B*A*P*S (1997),1.6666666666666667
107,B. Monkey (1998),3.0
108,Babe (1995),3.9954337899543377
109,"Baby-Sitters Club, The (1995)",2.5
110,Babyfever (1994),1.0
111,"Babysitter, The (1995)",2.333333333333333
112,Back to the Future (1985),3.834285714285714
113,Backbeat (1993),3.4736842105263164
114,Bad Boys (1995),3.1052631578947367
115,Bad Company (1995),2.2222222222222223
116,Bad Girls (1994),1.8333333333333333
117,Bad Moon (1996),2.6666666666666665
118,Bad Taste (1987),3.375
119,"Ballad of Narayama, The (Narayama Bushiko) (1958)",2.75
120,Balto (1995),3.0
121,Bananas (1971),3.701754385964912
122,"Band Wagon, The (1953)",3.6666666666666665
123,Barb Wire (1996),1.9333333333333331
124,Barbarella (1968),2.571428571428572
125,Barcelona (1994),3.018867924528302
126,Basic Instinct (1992),3.2277227722772284
127,"Basketball Diaries, The (1995)",3.425
128,Basquiat (1996),3.25
129,Bastard Out of Carolina (1996),2.875
130,Batman & Robin (1997),2.4516129032258065
131,Batman (1989),3.4278606965174134
132,Batman Forever (1995),2.6666666666666665
133,Batman Returns (1992),2.683098591549296
134,Baton Rouge (1988),1.0
135,Bean (1997),2.659340659340659
136,"Beans of Egypt, Maine, The (1994)",3.5
137,Beat the Devil (1954),3.7142857142857135
138,"Beautician and the Beast, The (1997)",2.313953488372093
139,Beautiful Girls (1996),3.391304347826087
140,Beautiful Thing (1996),3.9655172413793114
141,Beauty and the Beast (1991),3.792079207920792
142,Beavis and Butt-head Do America (1996),2.7884615384615383
143,Bed of Roses (1996),3.2333333333333334
144,Bedknobs and Broomsticks (1971),3.0701754385964914
145,Before Sunrise (1995),3.4081632653061225
146,Before and After (1996),2.8461538461538463
147,Before the Rain (Pred dozhdot) (1994),3.8
148,Being Human (1993),1.75
149,Being There (1979),3.905172413793104
150,"Believers, The (1987)",2.25
151,Belle de jour (1967),3.9459459459459465
152,Ben-Hur (1959),3.8306451612903225
153,Benny & Joon (1993),3.4607843137254903
154,Bent (1997),2.6666666666666665
155,Best Men (1997),3.4
156,Best of the Best 3: No Turning Back (1995),1.5
157,Better Off Dead... (1985),3.5696202531645564
158,"Beverly Hillbillies, The (1993)",2.25
159,Beverly Hills Cop III (1994),2.392857142857143
160,Beverly Hills Ninja (1997),2.3125
161,"Bewegte Mann, Der (1994)",3.6666666666666665
162,Beyond Bedlam (1993),1.0
163,Beyond Rangoon (1995),3.055555555555556
164,Bhaji on the Beach (1993),2.875
165,"Big Bang Theory, The (1994)",4.0
166,"Big Blue, The (Grand bleu, Le) (1988)",3.2352941176470584
167,Big Bully (1996),1.8571428571428568
168,"Big Green, The (1995)",2.5
169,"Big Lebowski, The (1998)",3.8333333333333335
170,Big Night (1996),3.900584795321637
171,"Big One, The (1997)",3.0
172,"Big Sleep, The (1946)",4.027397260273974
173,"Big Squeeze, The (1996)",2.25
174,Billy Madison (1995),3.081081081081081
175,Bio-Dome (1996),1.903225806451613
176,Bird of Prey (1996),1.0
177,"Birdcage, The (1996)",3.4436860068259385
178,"Birds, The (1963)",3.8086419753086425
179,Bitter Moon (1992),3.3
180,Bitter Sugar (Azucar Amargo) (1996),4.333333333333333
181,Black Beauty (1994),3.4444444444444446
182,Black Sheep (1996),2.636363636363636
183,Blade Runner (1982),4.138181818181818
184,Blink (1994),3.0
185,Bliss (1997),2.571428571428572
186,"Blob, The (1958)",2.717391304347826
187,Blood & Wine (1997),2.863636363636364
188,Blood Beach (1981),2.1666666666666665
189,Blood For Dracula (Andy Warhol's Dracula) (1974),2.4
190,Bloodsport 2 (1995),1.7
191,"Bloody Child, The (1996)",1.0
192,Blown Away (1994),2.7586206896551726
193,"Blue Angel, The (Blaue Engel, Der) (1930)",3.7777777777777777
194,Blue Chips (1994),2.6666666666666665
195,Blue Sky (1994),3.4166666666666665
196,Blue in the Face (1995),3.1777777777777776
197,Blues Brothers 2000 (1998),2.821428571428572
198,"Blues Brothers, The (1980)",3.836653386454184
199,Bob Roberts (1992),3.7411764705882353
200,Body Parts (1991),1.6153846153846154
201,"Body Snatcher, The (1945)",3.5
202,Body Snatchers (1993),2.971014492753623
203,Bogus (1996),2.5454545454545454
204,"Bonheur, Le (1965)",2.0
205,Bonnie and Clyde (1967),3.819672131147541
206,Boogie Nights (1997),3.5873015873015874
207,Boomerang (1992),2.8125
208,"Boot, Das (1981)",4.2039800995024885
209,Booty Call (1997),2.1666666666666665
210,Bottle Rocket (1996),3.4545454545454546
211,Bound (1996),3.821705426356589
212,Boxing Helena (1993),2.2
213,Boy's Life 2 (1997),3.333333333333333
214,Boys (1996),3.333333333333333
215,Boys Life (1995),3.2
216,Boys in Venice (1996),1.0
217,"Boys of St. Vincent, The (1993)",3.3846153846153846
218,Boys on the Side (1995),3.147058823529412
219,"Boys, Les (1997)",3.333333333333333
220,"Brady Bunch Movie, The (1995)",2.8026315789473686
221,Braindead (1992),3.8571428571428568
222,Bram Stoker's Dracula (1992),3.158333333333333
223,Brassed Off (1996),3.9375
224,Braveheart (1995),4.151515151515151
225,Brazil (1985),3.817307692307693
226,Bread and Chocolate (Pane e cioccolata) (1973),3.1666666666666665
227,Breakdown (1997),3.4025974025974026
228,Breakfast at Tiffany's (1961),3.726315789473684
229,Breaking the Waves (1996),3.72972972972973
230,Bride of Frankenstein (1935),3.608695652173913
231,"Bridge on the River Kwai, The (1957)",4.175757575757577
232,"Bridges of Madison County, The (1995)",3.164179104477612
233,Bringing Up Baby (1938),3.8382352941176467
234,Broken Arrow (1996),3.0314960629921264
235,Broken English (1996),2.25
236,"Bronx Tale, A (1993)",3.7916666666666665
237,Brother Minister: The Assassination of Malcolm X (1994),3.0
238,"Brother's Kiss, A (1997)",2.0
239,"Brothers McMullen, The (1995)",3.4520547945205484
240,Brothers in Trouble (1995),4.0
241,"Browning Version, The (1994)",3.0
242,Buddy (1997),2.25
243,Bulletproof (1996),3.204081632653061
244,Bullets Over Broadway (1994),3.72093023255814
245,Burnt By the Sun (1994),3.7083333333333335
246,Burnt Offerings (1976),2.4444444444444446
247,Bushwhacked (1995),1.5714285714285714
248,Butch Cassidy and the Sundance Kid (1969),3.9490740740740735
249,"Butcher Boy, The (1998)",4.0
250,Butterfly Kiss (1995),1.0
251,"Bye Bye, Love (1995)",3.1333333333333333
252,C'est arrivé près de chez vous (1992),3.0
253,Cabin Boy (1994),2.5625
254,"Cable Guy, The (1996)",2.339622641509434
255,Calendar Girl (1993),2.0
256,Canadian Bacon (1994),2.413793103448276
257,"Candidate, The (1972)",3.641025641025641
258,Candyman (1992),2.7230769230769236
259,Candyman: Farewell to the Flesh (1995),2.4285714285714284
260,Cape Fear (1962),3.5232558139534884
261,Cape Fear (1991),3.456140350877193
262,Captives (1994),2.333333333333333
263,Career Girls (1997),3.2564102564102564
264,Careful (1992),1.0
265,Carlito's Way (1993),3.4074074074074074
266,Carmen Miranda: Bananas Is My Business (1994),1.5
267,Caro Diario (Dear Diary) (1994),2.75
268,Carpool (1996),2.8
269,Carrie (1976),3.5041322314049586
270,Carried Away (1996),3.0
271,Carrington (1995),3.2307692307692313
272,Casablanca (1942),4.4567901234567895
273,Casino (1995),3.648351648351648
274,Casper (1995),3.0769230769230766
275,Castle Freak (1995),1.25
276,Cat People (1982),2.895833333333333
277,Cat on a Hot Tin Roof (1958),3.9516129032258074
278,Cats Don't Dance (1997),2.84375
279,Catwalk (1995),1.3333333333333333
280,Caught (1996),3.25
281,Celestial Clockwork (1994),4.0
282,"Celluloid Closet, The (1995)",3.8928571428571432
283,Celtic Pride (1996),2.2
284,"Cement Garden, The (1993)",3.6
285,Cemetery Man (Dellamorte Dellamore) (1994),2.8695652173913038
286,Century (1993),3.0
287,Chain Reaction (1996),2.7
288,Chairman of the Board (1998),2.2222222222222223
289,"Chamber, The (1996)",3.0930232558139537
290,Charade (1963),3.925
291,Chasers (1994),2.2
292,Chasing Amy (1997),3.8390501319261214
293,Children of the Corn: The Gathering (1996),1.3157894736842106
294,Children of the Revolution (1996),3.2
295,Chinatown (1974),4.1360544217687085
296,"Christmas Carol, A (1938)",4.057971014492754
297,Chungking Express (1994),3.571428571428572
298,"Ciao, Professore! (1993)",2.75
299,Cinderella (1950),3.581395348837209
300,Cinema Paradiso (1988),4.1735537190082646
301,Circle of Friends (1995),3.486842105263158
302,Citizen Kane (1941),4.292929292929293
303,Citizen Ruth (1996),3.6222222222222222
304,City Hall (1996),3.1392405063291138
305,City Slickers II: The Legend of Curly's Gold (1994),2.5454545454545454
306,City of Angels (1998),3.0
307,City of Industry (1997),2.5
308,"City of Lost Children, The (1995)",3.7916666666666665
309,Clean Slate (1994),2.8
310,Clean Slate (Coup de Torchon) (1981),2.75
311,Clear and Present Danger (1994),3.5698324022346366
312,Clerks (1994),3.8040540540540535
313,"Client, The (1994)",3.3814432989690717
314,Cliffhanger (1993),3.0215053763440864
315,Clockers (1995),3.0
316,"Clockwork Orange, A (1971)",3.909502262443439
317,"Close Shave, A (1995)",4.491071428571429
318,Clueless (1995),3.4588235294117653
319,Cobb (1994),2.8
320,Cold Comfort Farm (1995),3.824
321,Coldblooded (1995),2.0
322,"Collectionneuse, La (1967)",2.0
323,"Colonel Chabert, Le (1994)",3.5
324,Color of Night (1994),2.7333333333333334
325,Commandments (1997),2.6666666666666665
326,Con Air (1997),3.45985401459854
327,Conan the Barbarian (1981),3.0467289719626165
328,Condition Red (1995),2.0
329,Coneheads (1993),2.2195121951219514
330,Congo (1995),2.452380952380953
331,Conspiracy Theory (1997),3.4237288135593222
332,Contact (1997),3.803536345776032
333,"Contempt (Mépris, Le) (1963)",3.0
334,"Convent, The (Convento, O) (1995)",2.5
335,"Cook the Thief His Wife & Her Lover, The (1989)",3.024390243902439
336,Cool Hand Luke (1967),3.9939024390243913
337,Cool Runnings (1993),3.1617647058823533
338,Cop Land (1997),3.377142857142857
339,Cops and Robbersons (1994),2.3076923076923075
340,Copycat (1995),3.302325581395349
341,"Corrina, Corrina (1994)",3.1538461538461537
342,Cosi (1996),4.0
343,Country Life (1994),1.5
344,Courage Under Fire (1996),3.6108597285067874
345,"Cowboy Way, The (1994)",2.2105263157894743
346,"Craft, The (1996)",3.1153846153846154
347,Crash (1996),2.546875
348,Crimson Tide (1995),3.6298701298701297
349,Critical Care (1997),3.0909090909090913
350,Cronos (1992),3.2
351,Crooklyn (1994),3.5
352,Crossfire (1947),4.25
353,"Crossing Guard, The (1995)",3.0
354,"Crow, The (1994)",3.417910447761194
355,"Crow: City of Angels, The (1996)",1.948717948717949
356,Crows and Sparrows (1949),1.5
357,"Crucible, The (1996)",3.3376623376623376
358,"Crude Oasis, The (1995)",1.0
359,Crumb (1994),3.7901234567901234
360,"Cry, the Beloved Country (1995)",3.75
361,"Crying Game, The (1992)",3.6218487394957983
362,Curdled (1996),2.75
363,"Cure, The (1995)",3.333333333333333
364,Cutthroat Island (1995),2.4444444444444446
365,Cyclo (1995),3.0
366,Cyrano de Bergerac (1990),3.8181818181818175
367,"Cérémonie, La (1995)",4.0
368,D3: The Mighty Ducks (1996),2.5789473684210527
369,Dadetown (1995),3.0
370,Daens (1992),1.0
371,"Damsel in Distress, A (1937)",4.0
372,Dances with Wolves (1990),3.79296875
373,Dangerous Beauty (1998),3.7692307692307687
374,Dangerous Ground (1997),1.75
375,Dangerous Minds (1995),3.3404255319148937
376,Daniel Defoe's Robinson Crusoe (1996),3.0
377,Dante's Peak (1997),2.933333333333333
378,Dark City (1998),3.5
379,Dave (1993),3.65
380,"Davy Crockett, King of the Wild Frontier (1955)",2.9090909090909087
381,"Day the Earth Stood Still, The (1951)",3.938144329896907
382,"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2.0
383,Daylight (1996),2.771929824561404
384,Days of Thunder (1990),2.7169811320754715
385,"Daytrippers, The (1996)",3.6666666666666665
386,Dazed and Confused (1993),3.46875
387,Dead Man (1995),3.8235294117647056
388,Dead Man Walking (1995),3.8963210702341136
389,Dead Poets Society (1989),3.9163346613545817
390,Dead Presidents (1995),2.7222222222222223
391,Dear God (1996),2.5
392,Death and the Maiden (1994),3.4285714285714284
393,Death in Brunswick (1991),4.0
394,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0
395,Deceiver (1997),2.827586206896552
396,Deconstructing Harry (1997),3.4
397,Deep Rising (1998),2.4285714285714284
398,"Deer Hunter, The (1978)",3.8333333333333335
399,Delicatessen (1991),3.8769230769230765
400,Delta of Venus (1994),3.0
401,Demolition Man (1993),3.152173913043478
402,Denise Calls Up (1995),3.0
403,Desert Winds (1995),4.0
404,"Designated Mourner, The (1997)",1.8571428571428568
405,Desperado (1995),3.453608247422681
406,Desperate Measures (1998),3.3194444444444446
407,Destiny Turns on the Radio (1995),3.0
408,Devil in a Blue Dress (1995),3.3859649122807016
409,"Devil's Advocate, The (1997)",3.515957446808511
410,"Devil's Own, The (1997)",3.1083333333333334
411,Diabolique (1996),2.8873239436619715
412,Dial M for Murder (1954),4.0
413,Die Hard (1988),3.872427983539095
414,Die Hard 2 (1990),3.3554216867469884
415,Die Hard: With a Vengeance (1995),3.2847682119205297
416,"Die xue shuang xiong (Killer, The) (1989)",3.967741935483871
417,Dingo (1992),2.4
418,Dirty Dancing (1987),3.1020408163265305
419,Disclosure (1994),3.0
420,Diva (1981),3.727272727272727
421,Dolores Claiborne (1994),3.3417721518987342
422,Don Juan DeMarco (1995),3.5526315789473686
423,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2.771428571428572
424,Donnie Brasco (1997),3.8027210884353733
425,"Doom Generation, The (1995)",2.7142857142857144
426,"Doors, The (1991)",2.9782608695652173
427,Double Happiness (1994),3.4285714285714284
428,Double Team (1997),2.230769230769231
429,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",3.6818181818181817
430,Down Periscope (1996),2.702970297029703
431,Down by Law (1986),3.7714285714285714
432,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629
433,Dracula: Dead and Loving It (1995),2.28
434,Dragonheart (1996),3.0822784810126582
435,Dream Man (1995),1.5
436,Dream With the Fishes (1997),3.1428571428571432
437,Drop Dead Fred (1991),2.75
438,Drop Zone (1994),2.548387096774193
439,Drunks (1995),2.8
440,Duck Soup (1933),4.0
441,Dumb & Dumber (1994),3.0
442,Dumbo (1941),3.4959349593495936
443,Dunston Checks In (1996),1.8571428571428568
444,Duoluo tianshi (1995),3.1666666666666665
445,E.T. the Extra-Terrestrial (1982),3.8333333333333335
446,East of Eden (1955),3.864406779661017
447,Eat Drink Man Woman (1994),4.05
448,Ed (1996),1.3333333333333333
449,Ed Wood (1994),3.601503759398496
450,Ed's Next Move (1996),2.6666666666666665
451,Eddie (1996),2.7
452,"Edge, The (1997)",3.5398230088495577
453,"Eighth Day, The (1996)",3.0
454,Emma (1996),3.7175141242937855
455,"Empire Strikes Back, The (1980)",4.206521739130435
456,Enchanted April (1991),3.928571428571429
457,"Endless Summer 2, The (1994)",2.5
458,"Enfer, L' (1994)",3.0
459,"English Patient, The (1996)",3.656964656964657
460,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",3.375
461,Entertaining Angels: The Dorothy Day Story (1996),5.0
462,Eraser (1996),3.150485436893204
463,Escape from L.A. (1996),2.4615384615384617
464,Escape from New York (1981),3.241758241758242
465,Escape to Witch Mountain (1975),2.966666666666667
466,Etz Hadomim Tafus (Under the Domin Tree) (1994),2.0
467,Eve's Bayou (1997),3.609375
468,Even Cowgirls Get the Blues (1993),2.0
469,"Evening Star, The (1996)",2.931034482758621
470,Event Horizon (1997),2.5748031496062986
471,Everest (1998),4.5
472,Every Other Weekend (1990),1.0
473,Everyone Says I Love You (1996),3.273809523809524
474,Evil Dead II (1987),3.5168539325842696
475,Evita (1996),2.9806949806949805
476,Excess Baggage (1997),2.5384615384615383
477,Executive Decision (1996),3.3566878980891715
478,Exit to Eden (1994),2.75
479,Exotica (1994),3.555555555555556
480,Extreme Measures (1996),3.171875
481,Eye for an Eye (1996),3.03125
482,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0
483,Face/Off (1997),3.768041237113402
484,Faces (1968),3.0
485,Fair Game (1995),2.1818181818181817
486,FairyTale: A True Story (1997),2.966666666666667
487,Faithful (1996),3.3
488,Fall (1997),2.0
489,Fallen (1998),3.1463414634146343
490,Falling in Love Again (1980),1.0
491,"Family Thing, A (1996)",3.555555555555556
492,"Fan, The (1996)",3.09375
493,Fantasia (1940),3.770114942528736
494,Far From Home: The Adventures of Yellow Dog (1995),3.2857142857142856
495,Farewell My Concubine (1993),3.978260869565217
496,"Farewell to Arms, A (1932)",3.8333333333333335
497,Fargo (1996),4.155511811023622
498,Farinelli: il castrato (1994),3.117647058823529
499,Farmer & Chase (1995),4.0
500,"Fast, Cheap & Out of Control (1997)",3.4375
501,Faster Pussycat! Kill! Kill! (1965),3.0
502,Fatal Instinct (1993),2.631578947368421
503,Father of the Bride (1950),3.583333333333333
504,Father of the Bride Part II (1995),2.8984375
505,Fathers' Day (1997),2.5806451612903225
506,Faust (1994),4.2
507,Fausto (1993),3.0
508,"Favor, The (1994)",2.0
509,Fear (1996),3.1590909090909087
510,Fear of a Black Hat (1993),3.2
511,"Fear, The (1995)",3.0
512,Fearless (1993),3.24
513,Feast of July (1995),2.4
514,Feeling Minnesota (1996),2.625
515,Female Perversions (1996),2.625
516,Field of Dreams (1989),3.69811320754717
517,Fierce Creatures (1997),3.114583333333333
518,"Fifth Element, The (1997)",3.4771573604060912
519,"Fille seule, La (A Single Girl) (1995)",4.0
520,Fire Down Below (1997),2.9318181818181817
521,Fire on the Mountain (1996),3.0
522,Firestorm (1998),2.833333333333333
523,"Firm, The (1993)",3.2781456953642385
524,First Kid (1996),2.925
525,First Knight (1995),3.0232558139534884
526,"First Wives Club, The (1996)",3.01875
527,"Fish Called Wanda, A (1988)",3.785425101214575
528,Fled (1996),2.647058823529412
529,Flesh and Bone (1993),2.833333333333333
530,"Flintstones, The (1994)",2.064516129032258
531,Flipper (1996),2.45
532,Flirt (1995),3.6
533,Flirting With Disaster (1996),3.690476190476191
534,"Flower of My Secret, The (Flor de mi secreto, La) (1995)",3.1666666666666665
535,Flubber (1997),2.7547169811320757
536,Fluke (1995),2.4285714285714284
537,Fly Away Home (1996),3.6
538,"Fog, The (1980)",2.739130434782609
539,Fools Rush In (1997),3.0
540,For Ever Mozart (1996),2.0
541,For Love or Money (1993),2.833333333333333
542,For Richer or Poorer (1997),2.4285714285714284
543,For Whom the Bell Tolls (1943),4.0
544,For the Moment (1994),2.6666666666666665
545,"Forbidden Christ, The (Cristo proibito, Il) (1950)",2.75
546,Forbidden Planet (1956),3.835820895522388
547,Foreign Correspondent (1940),3.8666666666666663
548,Foreign Student (1994),2.0
549,Forget Paris (1995),3.193548387096774
550,Forrest Gump (1994),3.853582554517134
551,Four Days in September (1997),3.75
552,Four Rooms (1995),3.033333333333333
553,Four Weddings and a Funeral (1994),3.661354581673306
554,"Fox and the Hound, The (1981)",3.1475409836065573
555,Foxfire (1996),2.933333333333333
556,Frankie Starlight (1995),2.5
557,Free Willy (1993),2.4545454545454546
558,Free Willy 2: The Adventure Home (1995),2.1818181818181817
559,Free Willy 3: The Rescue (1997),1.7407407407407407
560,Freeway (1996),3.3571428571428568
561,French Kiss (1995),3.333333333333333
562,French Twist (Gazon maudit) (1995),3.2051282051282053
563,Fresh (1994),4.1
564,Friday (1995),3.4615384615384617
565,Fried Green Tomatoes (1991),3.7647058823529416
566,"Frighteners, The (1996)",3.2347826086956517
567,Frisk (1995),2.6666666666666665
